Company_id,Current_assets,Cost_of_goods_sold,Depreciation_and_amortization,EBITDA,Inventory,Net_income,Total_receivables,Market_value,Net_sales,Total_assets,Total_long_term_debt,EBIT,Gross_profit,Total_current_liabilities,Retained_earnings,Total_revenue,Total_liabilities,Total_operating_expenses,Bankrupt
C_57,1969.6,2934.3,218.7,922.8,856.6,386.0,860.6,5859.2408,5318.3,5300.9,950.3,704.1,2384.0,1258.4,4026.0,5318.3,2807.4,4395.5,0
C_58,465.541,1696.006,26.328,81.875,25.974,32.826,367.201,665.8197,1950.038,683.1,0.942,55.547,254.032,235.999,229.691,1950.038,321.923,1868.163,0
C_62,1066.182,768.311,84.308,295.789,290.804,-122.31,288.986,877.989,2436.847,2614.995,853.113,211.481,1668.536,716.04,991.324,2436.847,1712.576,2141.058,0
C_69,44.436,46.978,2.379,-1.471,26.469,-4.512,7.216,84.0119,65.396,50.241,0.0,-3.85,18.418,26.1,-3.052,65.396,27.112,66.867,0
C_72,1896.4,5385.2,232.3,886.0,657.1,295.0,998.3,4917.4726,7465.3,4831.4,2142.0,653.7,2080.1,1688.3,-287.5,7465.3,4921.5,6579.3,0
C_74,22528.0,26096.0,9338.0,15622.0,0.0,7135.0,9381.0,64259.2448,52550.0,165282.0,45247.0,6284.0,26454.0,25427.0,-3826.0,52550.0,110042.0,36928.0,0
C_78,600.654,2438.544,79.449,-226.142,532.407,-813.078,12.631,5.7504,3264.565,1083.731,80.816,-305.591,826.021,631.835,-948.523,3264.565,1499.487,3490.707,0
C_80,3858.6,137.6,265.9,2042.4,355.6,1119.7,497.2,59024.952,4015.7,6443.1,223.0,1776.5,3878.1,1002.9,1743.1,4015.7,1225.9,1973.3,0
C_83,81.315,187.183,31.258,28.43,4.937,-47.491,44.755,0.5826,306.348,207.818,0.0,-2.828,119.165,475.603,-389.397,306.348,485.745,277.918,0
C_86,110.835,452.582,8.336,11.236,0.0,-2.98,85.727,99.9336,551.727,192.884,0.0,2.9,99.145,94.213,68.542,551.727,101.801,540.491,0
C_87,154.402,48.125,4.401,16.701,18.567,12.214,12.863,446.36,84.825,209.055,0.0,12.3,36.7,7.724,39.643,84.825,9.601,68.124,0
C_88,10.424,17.356,1.334,3.888,4.167,0.528,3.82,16.851,28.084,25.269,2.158,2.554,10.728,5.904,3.659,28.084,11.518,24.196,0
C_90,9.756,6.66,0.741,-8.588,3.39,-13.63,2.094,13.8627,10.259,34.02,0.038,-9.329,3.599,4.125,-44.568,10.259,4.946,18.847,0
C_91,555.51,677.627,54.383,152.214,191.905,61.622,243.642,1482.2154,1049.495,857.732,39.905,97.831,371.868,179.428,777.98,1049.495,256.766,897.281,0
C_94,1030.946,1296.941,189.896,688.72,18.515,357.45,361.086,4836.7194,2121.157,4151.915,1567.616,498.824,824.216,330.13,1004.339,2121.157,2294.049,1432.437,0
C_95,1550.4,7115.9,834.5,3539.7,591.8,1704.5,620.9,39744.111,12911.5,13862.0,5983.9,2705.2,5795.6,1732.3,10919.9,12911.5,9800.5,9371.8,0
C_97,304.813,397.48,16.208,35.489,169.969,-7.704,99.803,129.2681,595.466,421.038,97.828,19.281,197.986,100.965,63.324,595.466,206.381,559.977,0
C_102,5143.0,4026.0,102.0,-231.0,11.0,-25.0,466.0,5442.8002,5363.0,6021.0,317.0,-333.0,1337.0,1518.0,2238.0,5363.0,2101.0,5594.0,0
C_103,7782.174,3704.244,386.971,1538.281,1412.997,507.829,776.451,27825.9147,7343.248,9828.51,564.805,1151.31,3639.004,1532.816,5717.455,7343.248,2221.773,5804.967,0
C_107,0.015,0.068,0.151,-0.061,0.0,-0.389,0.015,0.3297,0.049,0.019,0.0,-0.212,-0.019,0.27,-21.188,0.049,0.377,0.11,0
C_111,1114.3,2217.3,156.8,321.9,443.1,92.8,316.5,138.7938,3135.4,4034.4,50.3,165.1,918.1,364.4,1197.2,3135.4,3265.2,2813.5,0
C_116,2213.0,6319.0,250.0,347.0,495.0,417.0,1185.0,2659.95,7793.0,6945.0,1786.0,97.0,1474.0,1497.0,1794.0,7793.0,4719.0,7446.0,0
C_117,27.557,28.643,1.642,0.914,10.242,-0.233,9.174,16.0013,49.391,38.404,0.0,-0.728,20.748,6.102,31.391,49.391,6.979,48.477,0
C_118,30.58,59.587,4.445,14.916,9.012,6.498,11.828,91.2532,85.377,71.047,15.819,10.471,25.79,8.934,38.313,85.377,30.376,70.461,0
C_129,19.839,11.264,1.534,-0.014,0.977,1.232,7.154,10.362,19.781,29.833,3.123,-1.548,8.517,6.745,3.162,19.781,10.556,19.795,0
C_130,3083.46,2900.124,320.856,1773.802,0.0,924.72,976.638,31009.6192,6853.652,17889.09,110.227,1452.946,3953.528,1336.273,4920.444,6853.652,13188.093,5079.85,0
C_131,10.603,8.753,1.05,1.383,5.338,0.378,1.622,10.015,17.594,21.217,0.0,0.333,8.841,3.163,-35.598,17.594,4.288,16.211,1
C_134,3747.489,10748.49,119.398,700.535,1917.044,15.402,1629.566,2641.6813,12814.01,5864.148,919.493,581.137,2065.52,2570.065,1714.348,12814.01,3489.558,12113.475,0
C_139,1.939,0.951,0.039,-0.194,0.728,-0.214,0.736,14.0624,2.224,2.161,0.0,-0.233,1.273,0.969,-19.926,2.224,1.125,2.418,1
C_141,44.364,87.565,6.477,12.542,21.487,3.364,18.7,71.3274,138.537,98.836,20.498,6.065,50.972,23.782,50.736,138.537,55.834,125.995,0
C_142,14.244,63.108,3.355,7.646,4.983,3.846,6.277,8.602,76.305,40.28,9.794,4.291,13.197,7.527,19.213,76.305,19.835,68.659,0
C_144,128.8,330.642,5.2,25.578,25.341,11.186,67.594,125.8256,403.222,151.63,0.03,20.378,72.58,87.846,17.579,403.222,90.137,377.644,0
C_145,2697.2,3487.1,344.7,1076.5,1049.8,438.0,1365.3,12253.92,5382.2,6676.2,1682.4,731.8,1895.1,1212.4,-127.5,5382.2,3348.4,4305.7,0
C_146,17.024,25.595,2.621,10.776,5.575,5.11,7.13,100.3237,46.142,44.477,11.323,8.155,20.547,6.477,23.773,46.142,19.145,35.366,0
C_149,31.684,56.937,2.772,6.046,19.933,1.582,7.86,18.3047,78.068,55.782,0.302,3.274,21.131,14.863,36.233,78.068,15.375,72.022,0
C_150,1860.2,3151.4,419.1,776.9,304.3,104.1,738.9,4346.4474,3928.3,14077.6,2712.5,357.8,776.9,3559.5,1801.4,3928.3,10044.0,3151.4,0
C_154,390.909,439.734,43.732,65.002,188.987,-15.0,121.703,176.3015,629.842,1209.865,470.53,21.27,190.108,179.438,204.068,629.842,848.012,564.84,1
C_157,256.535,482.312,37.045,82.207,85.721,19.121,94.124,442.9034,768.821,636.505,178.365,45.162,286.509,183.604,220.646,768.821,437.668,686.614,0
C_164,3977.0,3833.0,441.0,1934.0,1341.0,612.0,1622.0,32118.6316,7663.0,10343.0,2486.0,1493.0,3830.0,3294.0,661.0,7663.0,6586.0,5729.0,0
C_169,9.157,24.701,0.032,1.795,5.408,1.083,3.254,6.6563,33.679,9.289,0.0,1.763,8.978,2.684,5.8,33.679,2.684,31.884,0
C_175,332.179,1009.904,183.01,354.674,15.868,-2.686,231.673,1981.412,1364.578,3672.225,1696.9,171.664,354.674,185.4,298.89,1364.578,2351.48,1009.904,0
C_176,586.897,1691.295,124.147,384.338,259.755,140.325,258.397,2600.1466,2293.104,1922.974,595.249,260.191,601.809,238.182,885.36,2293.104,1034.698,1908.766,0
C_177,12.679,136.563,5.898,20.343,4.097,8.829,0.99,154.148,171.507,98.301,3.705,14.445,34.944,20.589,46.16,171.507,24.294,151.164,0
C_179,4611.0,14858.0,309.0,1246.0,2258.0,570.0,247.0,14339.4848,19597.0,7375.0,813.0,937.0,4739.0,3730.0,1788.0,19597.0,4854.0,18351.0,0
C_180,1202.5,3468.6,253.1,-240.7,725.3,-1949.6,350.4,58.8969,3334.3,4244.0,628.2,-493.8,-134.3,271.6,-3672.0,3334.3,5924.5,3575.0,0
C_182,4.465,5.569,6.163,24.375,0.0,37.3,1.187,2.5739,35.875,132.709,159.577,18.212,30.306,2.792,-205.537,35.875,215.114,11.5,0
C_186,163.848,67.143,2.295,27.631,14.14,-29.926,24.538,479.4798,94.774,235.086,18.896,25.336,27.631,24.376,-55.45,94.774,77.546,67.143,1
C_188,952.944,297.317,35.41,406.104,335.348,239.74,365.148,7442.8677,1191.902,1521.723,0.0,370.694,894.585,237.699,1003.194,1191.902,241.437,785.798,0
C_191,19.117,27.072,0.435,2.786,4.127,1.502,7.059,21.1696,29.858,22.942,0.0,2.351,2.786,5.131,12.112,29.858,5.753,27.072,0
C_192,7.141,8.172,0.726,0.508,3.963,-0.525,2.776,3.7658,15.511,12.639,0.316,-0.218,7.339,5.736,-5.718,15.511,6.052,15.003,0
C_195,34.146,96.816,12.239,19.475,8.493,-2.151,18.753,1.4967,126.202,99.877,2.0,7.236,29.386,107.074,-25.826,126.202,111.206,106.727,1
C_197,2245.143,2330.781,155.386,986.955,100.225,434.405,1141.028,7266.735,3317.736,4230.791,868.387,831.569,986.955,1879.702,1811.83,3317.736,2861.371,2330.781,0
C_198,461.3,358.9,115.2,412.9,5.1,207.3,116.5,3344.81,788.6,2323.8,462.4,297.7,429.7,149.3,780.3,788.6,883.6,375.7,0
C_202,16206.0,47406.0,1750.0,6467.0,6920.0,2827.0,6209.0,30942.1354,58198.0,48343.0,10866.0,4717.0,10792.0,20486.0,13855.0,58198.0,37518.0,51731.0,0
C_205,18.682,5.339,0.275,-0.887,2.821,-0.659,9.036,333.4094,19.598,21.461,0.04,-1.162,14.259,2.998,-30.363,19.598,3.038,20.485,0
C_206,686.006,1368.491,73.116,260.881,0.0,121.107,272.886,4670.6043,2452.85,994.162,2.48,187.765,1084.359,176.647,383.23,2452.85,188.466,2191.969,0
C_208,658.244,2496.714,230.949,695.122,53.276,3.201,536.748,2378.5301,3191.836,5328.191,1891.803,464.173,695.122,1263.499,335.899,3191.836,4022.595,2496.714,0
C_209,689.6,1868.4,321.3,471.4,250.5,70.5,367.0,2705.2101,2454.3,5761.0,1828.0,150.1,585.9,863.5,776.2,2454.3,3653.8,1982.9,1
C_213,264.698,717.662,49.118,72.148,19.453,-24.078,189.498,424.6016,1054.631,630.23,76.941,23.03,336.969,186.556,337.66,1054.631,300.201,982.483,0
C_215,51.777,96.305,4.033,14.105,19.165,6.244,16.323,141.048,156.361,82.338,0.0,10.072,60.056,13.752,29.355,156.361,25.003,142.256,0
C_219,14.389,14.125,0.657,-14.034,0.0,21.17,1.272,6.6216,0.091,19.283,0.0,-14.691,-14.034,10.458,-80.376,0.091,14.134,14.125,0
C_220,1029.0,770.0,55.0,425.0,578.0,228.0,280.0,5367.1637,1958.0,2016.0,40.0,370.0,1188.0,495.0,1341.0,1958.0,705.0,1533.0,0
C_223,1400.9,2427.0,160.4,351.5,557.4,81.8,388.6,1910.5062,3370.8,3157.5,600.2,191.1,943.8,902.7,1034.7,3370.8,2046.6,3019.3,0
C_224,219.322,382.965,21.609,8.762,109.11,-10.274,54.616,236.5264,472.569,423.842,47.251,-12.847,89.604,79.579,226.53,472.569,209.492,463.807,0
C_229,750.715,1614.391,59.639,140.75,564.652,66.864,16.273,1018.5462,2577.206,1273.791,22.245,81.111,962.815,514.402,712.087,2577.206,551.293,2436.456,0
C_231,538.72,1207.682,65.012,73.217,216.968,-91.101,217.556,73.9956,1403.905,1184.995,397.068,8.205,196.223,655.18,-705.276,1403.905,1159.551,1330.688,0
C_232,723.0,6478.0,909.0,2698.0,191.0,731.0,172.0,11006.2178,9176.0,24721.0,6363.0,1789.0,2698.0,2161.0,5039.0,9176.0,16872.0,6478.0,0
C_240,30.441,77.238,7.219,6.539,10.814,-38.128,12.56,4.8332,99.495,84.416,9.425,-0.68,22.257,90.62,-42.465,99.495,101.661,92.956,1
C_242,184.285,169.353,9.851,5.532,34.809,-7.65,26.593,389.628,223.295,238.705,1.501,-4.319,53.942,31.284,28.171,223.295,34.796,217.763,0
C_245,82.152,41.628,23.653,41.507,12.92,6.541,14.544,125.0348,319.27,180.909,42.639,17.854,277.642,66.301,225.942,319.27,125.517,277.763,1
C_247,41.224,50.652,3.467,8.601,17.555,2.93,13.218,31.82,97.779,76.135,7.405,5.134,47.127,10.823,42.031,97.779,23.643,89.178,1
C_258,61.761,341.946,15.002,-6.763,34.176,-6.961,26.935,41.9933,353.792,239.951,114.885,-21.765,11.846,42.911,55.545,353.792,175.554,360.555,1
C_269,16.436,0.605,1.663,12.712,0.0,10.183,3.009,117.6509,15.758,25.088,0.0,11.049,15.153,1.579,-18.444,15.758,1.842,3.046,0
C_271,1215.5,2523.2,334.4,1175.4,102.3,410.4,464.1,5084.64,3698.6,9853.0,3709.0,841.0,1175.4,1190.6,1732.3,3698.6,6715.5,2523.2,0
C_272,1231.248,1849.589,51.873,394.354,777.586,136.421,383.922,2399.4175,2820.503,3069.385,1293.183,342.481,970.914,595.21,556.997,2820.503,2113.649,2426.149,0
C_273,10716.3,44055.4,280.6,1892.6,6286.1,857.4,2645.0,30960.3,47947.6,14642.4,1871.0,1612.0,3892.2,6574.8,4001.2,47947.6,9205.3,46055.0,0
C_281,170.857,429.812,9.425,12.757,134.751,-5.05,28.184,116.1202,611.275,327.415,117.188,3.332,181.463,70.706,94.169,611.275,208.945,598.518,1
C_297,9.447,10.629,0.902,1.019,5.284,1.157,3.328,33.6977,18.73,12.323,0.0,0.117,8.101,1.95,-2.724,18.73,1.95,17.711,1
C_298,8.105,6.544,1.417,-13.488,3.262,-21.549,1.685,7.2818,6.822,10.196,0.0,-14.905,0.278,11.807,-182.793,6.822,11.807,20.31,1
C_299,90.456,19.96,5.644,11.545,76.658,1.593,11.656,117.0475,43.519,184.469,50.061,5.901,23.559,38.736,14.882,43.519,89.953,31.974,0
C_300,345.624,1247.173,36.043,32.879,172.276,-27.888,27.507,594.8192,1548.225,858.152,224.926,-3.164,301.052,292.514,187.291,1548.225,566.118,1515.346,1
C_302,19.533,18.776,0.515,0.74,10.73,0.007,7.916,1.6082,21.936,23.98,11.4,0.225,3.16,12.16,-15.599,21.936,23.635,21.196,1
C_304,484.744,1402.161,58.325,105.478,300.407,-4.406,11.633,659.038,1993.843,1132.677,208.491,47.153,591.682,339.697,439.087,1993.843,581.875,1888.365,0
C_306,26.494,28.915,0.553,7.518,8.166,4.381,11.768,115.0692,48.995,31.929,0.0,6.965,20.08,9.825,2.334,48.995,9.902,41.477,0
C_307,77.878,50.074,8.401,41.579,14.26,15.343,20.86,132.8004,198.3,299.673,204.74,33.178,148.226,24.299,-14.351,198.3,247.055,156.721,0
C_308,24.749,21.339,0.344,3.885,11.836,2.15,10.129,19.1607,42.844,25.787,0.0,3.541,21.505,7.804,0.357,42.844,7.804,38.959,0
C_309,313.573,346.915,43.936,95.911,91.51,6.635,145.768,426.455,658.535,752.653,262.088,51.975,311.62,186.958,48.513,658.535,511.635,562.624,0
C_314,261.3,557.9,71.4,122.6,98.3,123.5,124.7,422.712,790.5,1247.4,488.3,51.2,232.6,219.2,416.0,790.5,816.4,667.9,1
C_317,18327.0,76809.0,7059.0,16031.0,2948.0,3288.0,8279.0,95633.6738,97863.0,77572.0,8989.0,8972.0,21054.0,20654.0,32461.0,97863.0,43331.0,81832.0,0
C_318,15.859,29.333,1.922,4.67,6.051,1.792,3.995,21.7575,40.443,29.678,1.633,2.748,11.11,4.243,24.683,40.443,7.305,35.773,0
C_319,137.205,2033.488,100.064,331.058,27.351,145.148,31.438,2572.3077,2473.656,1442.301,231.029,230.994,440.168,241.491,801.093,2473.656,542.014,2142.598,0
C_320,1188.69,228.414,115.046,230.693,111.357,180.036,230.332,8300.7094,1056.139,2873.452,408.917,115.647,827.725,330.916,-382.283,1056.139,923.446,825.446,0
C_322,293.207,661.243,18.968,111.829,101.214,46.984,112.094,1042.3781,1080.864,949.085,406.564,92.861,419.621,196.016,302.681,1080.864,664.656,969.035,0
C_324,21.925,26.071,1.9,-14.476,9.081,-33.667,8.029,10.6823,46.182,33.899,12.154,-16.376,20.111,17.559,-71.407,46.182,33.586,60.658,0
C_326,660.0,956.1,58.7,58.9,318.5,-35.7,155.1,529.1291,1262.7,1512.3,513.3,0.2,306.6,353.8,114.0,1262.7,1056.3,1203.8,1
C_327,34.541,17.215,2.145,-6.223,5.254,-7.562,4.71,22.3911,32.983,44.679,0.0,-8.368,15.768,5.149,3.538,32.983,5.149,39.206,1
C_329,853.25,1212.467,101.215,478.116,474.757,234.251,283.234,8872.0453,2271.052,2519.234,703.25,376.901,1058.585,312.634,1357.251,2271.052,1095.475,1792.936,0
C_330,266.987,1402.426,216.001,505.801,30.555,53.044,76.461,1849.0298,2348.512,4037.034,2482.087,289.8,946.086,309.241,1352.474,2348.512,3100.064,1842.711,0
C_331,214.424,473.785,42.931,113.959,78.596,19.583,0.0,912.0758,918.737,611.575,110.104,71.028,444.952,82.536,372.33,918.737,207.387,804.778,1
C_332,244.35,447.205,21.85,93.082,104.291,41.893,115.003,661.4544,659.964,530.617,135.203,71.232,212.759,94.931,240.07,659.964,255.922,566.882,0
C_333,1941.299,5879.817,2392.48,1898.786,45.004,-1144.026,1475.276,30443.7218,7970.003,47603.142,7967.713,-493.694,2090.186,2959.857,-629.401,7970.003,17814.094,6071.217,1
C_344,25.389,10.001,0.987,-2.082,5.682,-1.805,3.551,25.7355,18.875,28.573,0.026,-3.069,8.874,2.635,13.153,18.875,4.975,20.957,1
C_345,584.437,249.237,20.335,71.001,107.98,100.75,90.688,807.2984,477.945,874.517,58.159,50.666,228.708,115.599,328.0,477.945,226.855,406.944,0
C_347,241.025,328.955,41.566,76.21,111.098,5.195,43.037,237.4315,1101.333,604.194,284.318,34.644,772.378,147.494,-98.4,1101.333,448.587,1025.123,0
C_349,2203.4,3968.7,336.2,2197.5,677.0,1146.6,1124.9,31804.1955,9427.8,6984.8,2812.0,1861.3,5459.1,2123.5,4152.4,9427.8,5934.3,7230.3,0
C_350,58.103,44.171,4.807,-8.43,0.0,-10.09,1.753,155.0773,35.741,82.74,2.061,-13.237,-8.43,13.947,-91.254,35.741,16.008,44.171,1
C_353,21.882,47.357,2.095,11.096,8.959,5.873,12.228,49.2215,70.531,46.789,3.563,9.001,23.174,12.304,30.193,70.531,17.052,59.435,0
C_356,4548.8,7726.0,1141.8,395.6,454.5,608.6,967.4,34027.38,9674.2,38131.8,11741.6,-746.2,1948.2,3129.3,1775.9,9674.2,22778.6,9278.6,0
C_357,23.084,49.409,4.942,-10.737,9.527,-21.155,11.559,3.0377,76.167,43.736,26.912,-15.679,26.758,20.634,-131.864,76.167,53.376,86.904,1
C_363,14.195,4.744,3.411,-2.266,0.0,-11.206,1.739,12.9197,13.572,19.93,0.0,-5.677,8.828,4.845,-8.909,13.572,5.479,15.838,0
C_366,70.093,30.428,2.425,8.555,0.0,4.426,17.551,87.8571,89.428,111.879,3.63,6.13,59.0,43.116,27.535,89.428,51.477,80.873,0
C_368,13278.0,25065.0,1377.0,1856.0,1402.0,-785.0,6504.0,16631.04,33554.0,23689.0,600.0,479.0,8489.0,11133.0,4261.0,33554.0,12572.0,31698.0,0
C_369,9.378,24.625,0.342,-0.432,0.0,-0.77,3.638,6.2064,27.625,11.399,2.244,-0.774,3.0,21.653,-64.399,27.625,23.918,28.057,0
C_371,58.227,100.24,1.874,9.706,20.807,4.092,34.188,116.4625,127.394,76.431,12.768,7.832,27.154,30.827,2.59,127.394,43.794,117.688,0
C_376,104.096,83.616,6.263,19.418,36.732,6.714,27.374,108.092,135.931,146.988,44.157,13.155,52.315,37.007,-1.973,135.931,81.423,116.513,0
C_378,161.238,276.275,7.996,-4.323,0.0,-14.45,91.556,100.8999,400.784,237.721,0.0,-12.319,124.509,45.491,63.359,400.784,47.866,405.107,0
C_388,1430.095,7515.701,526.235,2118.261,220.699,695.835,738.076,8562.2529,9633.962,16996.111,5542.305,1592.026,2118.261,2210.565,5186.034,9633.962,11070.708,7515.701,0
C_389,1327.846,4120.723,165.202,264.792,20.244,-394.591,734.544,1640.2931,4862.731,2990.02,690.815,99.59,742.008,883.975,387.494,4862.731,2351.933,4597.939,0
C_393,44.585,92.919,6.387,15.541,15.648,6.438,18.685,35.5782,124.418,86.063,13.52,9.154,31.499,20.039,54.576,124.418,38.341,108.877,0
C_396,1651.2,2818.2,186.4,661.6,670.9,231.3,777.1,3274.169,4209.5,4611.4,1107.0,475.2,1391.3,1106.1,2197.2,4209.5,2588.2,3547.9,0
C_404,155.19,613.131,54.474,184.233,116.59,49.181,10.201,1066.9735,1963.692,1212.872,125.478,129.759,1350.561,197.249,696.485,1963.692,366.764,1779.459,0
C_406,523.257,1045.71,74.61,252.426,244.19,88.62,217.636,1530.4516,1587.18,1292.115,302.368,177.816,541.47,249.139,754.783,1587.18,638.936,1334.754,0
C_408,7.027,1.135,0.842,3.527,0.0,2.002,0.925,16.3246,5.619,16.47,0.0,2.685,4.484,1.236,6.941,5.619,3.627,2.092,0
C_409,815.074,1936.689,146.7,278.221,491.693,-123.944,188.133,1017.513,2718.798,3232.188,1392.833,131.521,782.109,682.618,-432.189,2718.798,2684.647,2440.577,1
C_410,72.689,50.929,7.369,16.092,13.923,0.98,27.924,97.1317,123.516,111.233,0.0,8.723,72.587,31.971,55.146,123.516,36.658,107.424,0
C_412,2422.0,6063.0,499.0,814.0,862.0,-972.0,996.0,319.2831,7187.0,9620.0,4475.0,315.0,1124.0,2506.0,-1425.0,7187.0,8615.0,6373.0,0
C_416,146.671,299.922,18.669,33.897,57.899,-3.44,43.366,102.1064,381.878,287.713,107.001,15.228,81.956,44.715,80.893,381.878,168.648,347.981,0
C_418,225.957,280.955,14.734,62.212,57.115,62.88,86.354,475.6038,343.167,500.428,21.361,47.478,62.212,76.096,462.472,343.167,150.474,280.955,0
C_420,0.706,2.018,0.412,-2.099,0.292,-3.495,0.149,1.2558,2.968,1.721,0.002,-2.511,0.95,1.186,-56.639,2.968,1.188,5.067,0
C_421,36.917,86.895,0.986,5.59,17.645,0.875,16.864,6.224,106.328,46.877,20.52,4.604,19.433,9.261,-1.94,106.328,31.325,100.738,0
C_423,689.761,82.355,6.506,9.911,0.0,52.416,14.969,494.6751,92.266,868.409,288.955,3.405,9.911,133.124,360.473,92.266,536.012,82.355,0
C_425,3797.0,8720.0,548.0,681.0,1299.0,-298.0,1742.0,2061.5964,10386.0,10207.0,3008.0,133.0,1666.0,3489.0,1646.0,10386.0,8137.0,9705.0,1
C_426,1874.615,2159.637,178.39,750.127,408.236,297.665,585.318,8643.2673,3782.444,4820.483,1119.333,571.737,1622.807,1017.294,1851.734,3782.444,2591.897,3032.317,0
C_429,166.059,144.365,11.773,13.76,28.152,-17.745,70.912,1043.4268,260.851,287.592,0.0,1.987,116.486,74.723,60.546,260.851,74.723,247.091,0
C_430,24.443,13.463,4.758,-13.081,1.22,-11.456,2.907,17.563,31.245,30.166,0.0,-17.839,17.782,13.302,-200.867,31.245,13.302,44.326,0
C_432,3.883,6.083,0.298,-3.397,2.169,-5.361,1.415,2.5884,4.667,5.62,11.154,-3.695,-1.416,2.076,-54.034,4.667,13.23,8.064,0
C_438,43.19,0.759,0.056,-1.58,0.0,0.299,0.174,91.3874,0.592,43.54,0.0,-1.636,-0.167,8.211,30.291,0.592,8.211,2.172,0
C_439,9648.0,27246.0,1079.0,3826.0,4449.0,1368.0,3831.0,40198.3777,39888.0,24154.0,8088.0,2747.0,12642.0,7054.0,6687.0,39888.0,16294.0,36062.0,0
C_442,170.397,200.468,3.783,44.714,31.042,23.59,0.0,364.4688,307.582,195.943,0.0,40.931,107.114,37.985,164.733,307.582,37.985,262.868,1
C_443,9.962,26.47,0.761,2.219,3.79,0.862,3.525,10.8698,34.782,18.366,1.605,1.458,8.312,3.888,18.301,34.782,5.902,32.563,1
C_446,3567.0,13713.0,1283.0,166.0,0.0,-1216.0,368.0,3606.178,13879.0,23605.0,8347.0,-1117.0,166.0,6403.0,2955.0,13879.0,19581.0,13713.0,1
C_450,1.436,1.058,0.074,-0.674,1.164,-0.759,0.062,1.592,1.985,2.036,0.0,-0.748,0.927,0.653,-17.73,1.985,0.653,2.659,0
C_454,2826.0,6358.0,795.0,1491.0,505.0,332.0,1352.0,6757.96,7849.0,19228.0,7928.0,696.0,1491.0,3178.0,1778.0,7849.0,14639.0,6358.0,0
